Date,City,Score,Review_usage,Review_pro,Review_contra,Review_comment,Like_count,Dislike_counts,Shop_review
2 месяца назад,Бугры,1,менее месяца,"Айфон 14 на 512 не может не радовать, но","Телефон восстановленный, никто и не думал что там будет достаточно много восстановленного.
За месяц использования выявлено: не родной динамик, со стороны камер, установлен криво, потому, что вокруг зазоры…к тому же другого цвета…
По серийному номеру, другой телефон, в соответствии с цветом динамика.
Аккумулятор за две недели со ста упал до 98 процентов, дальнейшая динамика его расхода не ясна.
Тот кому предназначался подарок обнаружил пыль под линзами камер и судя по всему её количество увеличивается, пока это не влияет на фотографии, но дело времени. Как бы специалисты починили телефон, а зазоров оставили мама не горюй, отсюда уровень защиты от воды, точно 0.","В общем и целом, процессор и оперативная память надеюсь родные. Брать такой телефон судя по исполнению (ремонту) данной организации не рекомендую, возможно не повезло, вернуть после 7 дней нельзя, будем завсегдатаями сервисов апл.",0,0,APP-Seller
Месяц назад,Белые Столбы,1,менее месяца,"В остальном все ок, но эта функция очень важна",Не работает модуль e-sim,"Сегодня забрал айфон из пункта выдачи, при настройке не было в настройках пункта настройки e-sim, с помощью службы техподдержки apple и диагностики выявлено, что на физическом уровне модуль e-sim поврежден и работать без ремонта не может.
Айфон абсолютно новый, только распаковал и начал настройку. Стоимость ремонта в сервисе объявили 10 000 рублей.
Также есть проблемы с микрофоном (особенно про записи видео) и с основным динамиком (звук, как из ведра).
К тому же, на задней стороне логотип apple расположен криво, это очень видно.",0,0,White Store
5 дней назад,Новошахтинск,1,Не указано,"Телефон пришел идеальный, НО через две недели я столкнулась с очень интересным явлением. Ехала в автобусе, разговаривала по телефону, закончив разговор я обнаружила внушительную зеленую полосу на экране и сам он(экран) порозовел. Телефону было 2 недели, пользовались аккуратно. Повелись на надпись 90 дней гарантии, однако, никто его обратно принимать не хочет. Ремонт 34000 рублей, по факту теперь пользуешься не айфоном 14, а тапком за внушительную сумму!",Описаны выше,"Товар не оправдал ожиданий, просто попали на деньги…",0,0,White Store
5 месяцев назад,Москва,1,менее месяца,Достоинств замечено не было,Худшая покупка в жизни,"Купил у навитойс «новый» iPhone 14, и начались приключения. Конечно, оплата ТОЛЬКО наличными смущала, но рискнул и ошибся. Когда пытаешься разблокировать (ввести пароль) экран тупит и подлагивает. Вернуть его, однако, нельзя - как только ты попадаешь в главное меню, где и ставишь пароль и тд, айфон активируется и становится БУ. (имейте в виду, если хотите проверить айфон сразу - это невозможно, максимум позволят открыть коробку). Сначала поехал в СЦ, где порекомендовали переустановить iOS. Сделано, не помогло. Отправил возвратом - вернули с теми же проблемами и потребовали сверху 2100₽ за «диагностику». В общем, если хотите потерять время, деньги, нервы, и потом думать, как продать свой «новый» айфон - обращайтесь в навитойс. Надеюсь, мой отзыв кому-то поможет не совершить моих ошибок. Не ведитесь на цену, хотите сэкономить - заказывайте из Китая или ищите хороший бу на авито.",10,0,NAVITOYS
2 недели назад,Самара,1,Не указано,Нет блока зарядки и наушников,Разочаровал,"К сожалению, цена комплекта без зарядного устройства равна -50% бренд не оправдано ожидания. Очень печально что выполнен из дешевого пластика, вообще конечно жаль что компания скатилась до такого уровня",0,0,You:store
2 недели назад,Янино-1,1,Не указано,нет,"после месяца использования айфон стал отключатся сам и виснуть, так же появились черные пятна на камере , продали заведомо сломанный наверно после ремонта телефон .",нет,0,0,Apple Future
Неделю назад,Краснодар,1,Не указано,Внешний вид,"Камера ужасная, сенсор иногда зависает, звук звонка пропадает.",Покупкой недовольна. На андроиде камера намного лучше.,1,0,Digital Planet
3 недели назад,Москва,1,Не указано,Не указано,Не указано,"хотел скачивать сторонние приложения, а у меня ничего не работает, мяу, как вообще тут можно этим пользоваться, не знаю, планирую продать и купить ксяоми",0,0,ДжастокРу
2 недели назад,Воронеж,1,Не указано,Паленый,Не оригинальный телефон,"После месяца использования телефон ужасно лагает, камера постоянно в расфокусе , батарею не держит",0,0,Яблочный Гусь
3 недели назад,Москва,1,Не указано,Не указано,Не указано,"Все очень плохо , взял телефон , сразу не заметил что экран хреново приклеен , одним словом брак ! Не советую , буду жаловаться и оформлять возврат",0,0,WISHMASTER
4 месяца назад,Батайск,1,менее месяца,"пришёл во время, упаковка, внешний вид суппер","брал на подарок, при эксплуатации выяснилось, что телефон не видит сим карту. Диагностика в сервисном центре показала, что все отлично, но неисправность осталась. Гарантийный ремонт на территории России не делают. Отремонтировали за наличку. При ремонте выяснилось, что телефон не новый, а восстановленный.","очень качественная красивая подделка, не работает, не рекомендую",2,0,TECHNOTON
3 дня назад,Краснодар,1,Не указано,новый. быстрая доставка.,нет esim:(,"уберите в описании esim.
оформил возврат. :(",0,0,White Store
Месяц назад,Санкт-Петербург,1,менее месяца,Не указано,"Айфон для страны Китая , а в нем отсутствует функция face time о чем скромно молчит продавец!!!!!! Как можно пользоваться айфоном без его полного функционала?! Буду обращаться в суд!",Не указано,0,0,Apple Mall
2 месяца назад,Ярославль,1,Не указано,Нет,"Продавец вводит в заблуждение! Покупада НОВЫЙ телефон, при получении оказалось что товар Б/У! Коробка потертая, заводских пломб нет, коробка вскрыта,наклеены какие то левые пломбы! При получении открывается реальная карточка товара где написано что товар б/у! Ужасный продавец",Не указано,0,0,Prosto-Technika
2 недели назад,Санкт-Петербург,1,Не указано,Не указано,Не указано,"Пыль под камерой. Динамик сдвинут.
Пользоваться не возможно.
Вернул обратно.",0,1,White Store
Неделю назад,Тамбов,1,Не указано,Не указано,Телефон стало плохо держать зарядку и зависать !,Не указано,0,0,ID Store
3 недели назад,Тюмень,1,Не указано,Внешний вид,"Не работает е-сим, не работает подключение к сети вай фай, не работает с эпл вотч",Не указано,0,0,Неизвестно
2 месяца назад,Покровское,1,менее месяца,Нет,"Товар не новый, пришел без пленок, со вскрытой коробкой, перестала работать боковая кнопка, царапина/скол на камере, емкость аккумулятора 93 процента, телефон был ранее активирован.",Не указано,0,1,ABIN TECHNOLOGY
2 месяца назад,Москва,1,Не указано,Нет никаких,"В заказе лежал б/у телефон, обман","Пришел заказ, упаковка грязная внутри пакета лежал старый б/у телефон в коробочке. В какой момент его в процессе доставки подменили или это пришло от продавца я не знаю. Но факт",0,0,Xtech Store
Месяц назад,Нижний Новгород,1,менее месяца,"Красивый,оригинал,новый",Не ростест!!!Будьте внимательны при заказе,"Товар не соответствует описанию,и заявленным требованиям которые у продавца на сайте",1,0,MyPhones
2 месяца назад,Солнечногорск,1,Не указано,Шустрый быстрый отличная камера,"Через два месяца использования вздулся аккумулятор, а службы поддержки играют мной в пинбол","Еще и цвет не то прислали что заказывали, но это не страшно.",0,0,ProApple
2 месяца назад,Красноярск,1,менее месяца,Удобен в руке,"При активации не работали сим карта, потом вообще писал сбой активации про запуске. В итоге воспользоваться айфоном не смогли. Возврат","Надеюсь, что это просто мне так не повезло.",0,0,1Store.
Месяц назад,Москва,1,Не указано,Все отлично работает,да,"Перестал работать через 4 месяца использования,не роняла и не загружала его.",1,0,NAVITOYS
4 месяца назад,Казань,1,менее месяца,Телефон хороший,"Коробка пришла поврежденная, вскрытая","Телефон пришел со вскрытой, поврежденной коробкой, внутреннее содержание не пострадало, но внешние обстоятельства оставили невольной. Заказала именно новую модель, а пришла уценка. Вариантов отказаться и вернуть товар, к сожалению у меня не было.",0,0,EL-CASTLE
Месяц назад,Волгоград,1,Не указано,Не указано,товар пришел восстановленный,"Товар покупался как новый, пришел товар восстановленный с какими то зазубринами на камере",0,0,Digital Planet
2 месяца назад,Великий Новгород,1,менее месяца,не нашел,"покупался как новый, оказался воостановленным",будем возвращать товар по причине несоответствия заявленному,0,0,ID Store
Месяц назад,Новосибирск,1,Не указано,Не указано,Тусклый экран и очень быстро садится батарея,Не указано,0,0,Techno Shop 66
3 месяца назад,Санкт-Петербург,1,менее месяца,Не указано,"Привезли б/у телефон, хотя было заявлено, что он новый.","Покупали новый телефон, но пришел б/у с пометкой в описании, то что я была в шоке ничего не сказать.",0,0,1Store.
2 месяца назад,Химки,1,несколько месяцев,Не указано,Спустя почти месяц при зарядке стал очень сильно нагреваться,Не указано,0,1,S.Store
2 месяца назад,Казань,1,менее месяца,Не указано,"коробка грязная, упакован плохо, пупырчитой плёнкой не обернут, сама коробка айфона тоже грязная ,потертая,как бу.",Не указано,0,0,TIGIAL
4 месяца назад,Москва,1,Не указано,"Надеюсь, что телефон хотя бы рабочий.","Пришел в грязной заляпанной коробке со сбитым уголком. Я покупал этот телефон не для себя, а в подарок. Весь корпус в отпечатках пальцев, а наклейки оставили после себя совершенно уродские следы на коробке, и все это воняет клеем.",Не указано,0,0,Apple Gallery
3 месяца назад,Казань,1,менее месяца,Сомневаюсь в оригинальности,Все на китайском,Нет фейс там и кучи функций камера размыта,0,0,Digital Planet
3 месяца назад,Петрозаводск,1,Не указано,Хороший телефон,"через 22 дня использования появилась проблема, ""Нет сети"" не видит сим карту, перезапуск не помог",телефон так и не работает,0,0,Hi-Tech Store
3 месяца назад,Казань,1,Не указано,Не указано,Не указано,Заказала новый телефон. Пришел б/ушный. Зачем так обманывать покупателей?,0,0,Неизвестно
3 месяца назад,Тамбов,1,менее месяца,Айфон,4 часа и акум в ноль,Акум разряжается в ноль,1,0,S.Store
5 месяцев назад,Самара,1,несколько месяцев,Не указано,За использования обычных мессенджеров не на постоянной основе начали падать быстро % .Спустя меньше пол года уже телефон имеете 92% .Телефон нагревается до такой степени что его не возможно держать .Изоображения двоятся .Что делать с телефоном не известно,Не указано,0,0,PRO-Store
3 месяца назад,Санкт-Петербург,1,менее месяца,Правда подобная реплика,"Не оригинал, камера по качеству сильно отличается",Свои 71000 не стоит абсолютно,0,0,Apple Gallery
3 месяца назад,Парголово,1,Не указано,Не указано,Не работает основной камера,Не указано,0,0,Digital Planet
4 месяца назад,Воскресенск,1,менее месяца,не нашли их,начал глючить на 2ой день,"покупался новый. но начал глючить на 2ой день,очень странно и жалко...НЕ СОВЕТУЮ ДАННОГО ПРОДОВЦА",0,0,Dicentre
3 месяца назад,Москва,1,несколько месяцев,Не указано,Не указано,Перестали заряжаться через 2 дня,0,1,NAVITOYS
3 месяца назад,Краснодар,1,несколько месяцев,Года нет и начал троить,Не указано,Не указано,1,0,istore93
4 месяца назад,Набережные Челны,1,менее месяца,Не указано,Не указано,Привезли уже активированный телефон и заклееный чем то хотя я заказывала новый,0,0,Big-Apple
4 месяца назад,Сабурово,1,менее месяца,Оригинал,"Прислали не тот телефон. Заказывал с нано и е сим, прислали с двумя нано сим, продавец на это ничего не отвечает.",Не указано,0,0,Boutique VB
4 месяца назад,Москва,1,менее месяца,Не указано,Плохо работать аккумулятор вообще не держит,Не указано,0,0,Мегабит Трейд
4 месяца назад,Бердск,1,несколько месяцев,Не указано,Появился брак в горизонтальной камере. Продавец не выходит на связь и не доступен. Не рекомендую,Не указано,0,0,EAC shop
4 месяца назад,Павловский Посад,1,менее месяца,Все ок,"Ребенок расстроен , телефон восстановленный , проверяйте сразу ,",Да,0,0,Techno Storm
6 месяцев назад,Посёлок совхоза имени Ленина,1,менее месяца,Не указано,"Не знаю у меня или у всех , телефон не плавно работает , как будто как 11 айфон , с 11 айфоном нет разницы , либо мой телефон какой то не оригинальный","Берите про версию , если нравится быстрые телефоны",0,0,ID Store
4 месяца назад,Тула,1,менее месяца,Не указано,"Это оригинал, но он не новый. Ему 2 месяца! Обман !",Не указано,0,0,Boutique VB
4 месяца назад,Барнаул,1,менее месяца,Не указано,Телефон был не новый . Активированный,Не указано,0,0,STRUKTURA
4 месяца назад,Дубна,1,Не указано,Не указано,кабель потделка,Не указано,0,0,New Media
4 месяца назад,Санкт-Петербург,1,Не указано,Не указано,Вскрытый,Не указано,1,0,TECHNOTON
5 месяцев назад,Краснодар,1,несколько месяцев,никаких,"видимо перепрошитый телефон, поскольку с течении времени высвечивается чужой эпл айди",Не указано,2,1,1pad
5 месяцев назад,Белгород,1,Не указано,Нет,Прислали заведомо б/у телефон. Не советую покупать у них,Не указано,0,0,Неизвестно
6 месяцев назад,Ростов-на-Дону,1,Не указано,Не указано,"Сборка оказалась хуже чем был прошлый телефон,13 которому пару лет работают стабильнее новой 14))",Не указано,0,1,Tech_Story
8 месяцев назад,Брянск,1,менее месяца,"Хороший телефон , рекомендую","Перестал заряжаться от шнура , стоял на зарядке когда я его снял обнаружил что телефон не заряжается , и теперь не видит никакой шнур ,пользовался оригиналом",Гарантии нет поэтому думайте,0,0,PRO-Store
7 месяцев назад,Москва,1,Не указано,Не указано,Очень тупит . Нужно отдать по гарантии,Не указано,0,0,KosmoSquad
9 месяцев назад,Воронеж,1,менее месяца,Не указано,"Не рекомендую продавца. Прислал телефон без есим. В итоге у меня телефон, который поддерживает только одну сим-карту, а есим нет. Как итог: рабочая есим не работает",Не указано,0,0,Питер Маркет
4 месяца назад,Москва,2,менее месяца,вначале все было хорошо,"1. спустя почти месяц использования начал глючить и иногда переустанавливаться, как после перегрузки памяти на телефоне, было такое, что пропадали кнопки ответа на звонок и выключения и это все, с учетом того что телефон никогда никуда не падал, ни чем не заливался и в целом я аккуратно обращаюсь с ним 2. просветила пломбы ультрафиолетом, нет оригинальных штрихкодиков на пломбах на коробке 3. про раздачу интернета без кабеля можете забыть, другие устройства просто не подключаются","Подозреваю что телефон не оригинальный, НЕ СОВЕТУЮ к покупке у этого продавца! Будьте внимательнее при срывании пломб, возможно до вас их уже распечатывали аккуратно скальпелем по бокам коробки",0,0,1Store.
11 месяцев назад,Москва,1,несколько месяцев,Дороговизна),"1. Даже тех приложений что можно поставить на 13 и ниже и уж тем более на андроид, на 14 скачать нельзя
2. Функции звонков по вай-фай нет!!!
3. Мало режимов и настроек камеры
4. Платные функции (хранилище и т.п.) не оплатить, с предыдущего информация автоматом так и не загружается",Откровенный пропадос. Знала бы - не купила бы,0,4,Неизвестно
Неделю назад,Электроугли,2,Не указано,Не указано,"Отвратительно восстановлен! Сам аппарат лагает, камера виснет!","Заказал у этого продавца два телефона! Первый пришел - греется и отключается, заказал второй - камера виснет!",0,0,Apple Future
9 месяцев назад,Москва,1,несколько месяцев,Не указано,Очень сильно нагревается при обычной работе. Например при вызове через faceTime,Не указано,7,6,video-shoper
2 месяца назад,Москва,2,Не указано,Пользовался замечательно первые два месяца,Спустя два месяца отказал экран. Перестал реагировать на касания и просто на заблокированном экране греется сильно в нижней части,Не знаю как поступить и как вернуть товар,0,0,MoscowTradeOnline
11 месяцев назад,Ростов-на-Дону,1,менее месяца,Камера,"Невыносимо пользоваться банками, их невозможно скачать, только через ярлыки браузера
Нельзя выбирать с какой сим карты звонить, только выбирать основную каждый раз","Я разочарована
Переходила с андроида. И очень жалею о своем минутном желании познакомиться с айфоном, столько трудностей я еще не испытывала",2,6,Билайн - официальный магазин
Месяц назад,Клин,2,менее месяца,Телефон начинал греется и не держит зарядка. Всего лишь два месяца использую,Не указано,Идеально,0,0,iSales
9 месяцев назад,Тюмень,1,несколько месяцев,Не указано,Через пол года пользования перестал работать дисплей,Не указано,0,0,E-SMART
Месяц назад,Москва,2,Не указано,Нету,Нагревается батарейка,"Сборка китайская оказывается, не знали",0,0,ElectroHome
Год назад,Домодедово,1,Не указано,Ни каких,Не указано,"Заказал в ЮПОРТ ТЕХНИКА айфон 14 на сим+е сим, пришёл телефон с вскрытой пломбой да ещё и на две сим. Вы как там упаковывали? Упаковали в рваный кусок пупырки, такой товар и так упаковать, это вообще безразличное отношение к клиентам. НЕ СОВЕТУЮ ЭТОТ МАГАЗИН. БУДЬ АККУРАТНЕЕ И ПРОВЕРЯЙТЕ УПАКОВКУ И МАРКИРОВКУ ТЕЛЕФОНА. Возврат оформил, деньги пришли сразу. Не знаю на что рассчитывал магазин, но отношение к клиентам очень плохое, можно было поставить меньше звёзд, поставил бы. Руководству не мешало бы принять меры. ЗАКАЗЫВАЛ В ЮПОРТ ТЕХНИКА. Просто отвратительный магазин. Зачем отправлять вскрытый? Да ещё и на 2 сим, заказывал совсем другой, очень ПЛОХОЕ отношение в ЮПОРТ ТЕХНИКА. ОТВРАТИТЕЛЬНО.",12,3,Неизвестно
2 месяца назад,Лесной,2,менее месяца,Как обменять?,"Брала под описанием новый,в настройках указан истек срок ,его что,уже чинили?",Не указано,0,0,Xtech Store
11 месяцев назад,Самара,1,менее месяца,Зато положили б/у чехол прозрачный который уже пожелтел!!!,Не положили кабель зарядки и иголку чтобы открыть слот сим карты,"Почему пишите что полный комплект, а сами положили просто телефон и коробку?",32,12,ТехникаДома
2 месяца назад,Янино-1,2,менее месяца,Айфон,"Коробка не упаковано как у нового, складываются впечатления, что восстановленный.",Не указано,0,0,Apple Mall
11 месяцев назад,Москва,1,Не указано,"через месяц тел превратился в кирпич, интеренет не видит, только звонки!!!!Буду писать в роспотребнадзор",Не указано,Не указано,11,2,WiHonor
3 месяца назад,Санкт-Петербург,2,Не указано,Быстрый и мощный телефон,"Сильно нагревается, за полтора месяца 2 процента аккумулятора ушло, быстро разряжается",Не указано,0,0,WISHMASTER
Год назад,Москва,1,Не указано,Не указано,Не указано,"Прислали активированный iPhone, когда вскрыл коробку увидел что сим лоток торчит из корпуса, наклейка на экран криво наклеена. Так же заказывали версию с одной сим картой, а прислали с сим лотком на две сим карты. Осознал что айфон активированный лишь после получения и вскрытия, когда проверял на сайте apple не понял что он активированный, потом увидел как должен был пробиваться по imei. На сайте пишет что гарантия заканчивается 26 декабря 2022 года, это как? Смартфон Я до сих пор не включал, так как это подарок на новый год",2,3,Юпорт техника
6 месяцев назад,Санкт-Петербург,2,несколько месяцев,Привезли быстро все ок,"Запала кнопка громкости сразу, из за отъезда не могу попасть к сервисный центр но это просто жесть","Купили в подарок, была счастлива, но 2 день запала кнопка громкости и теперь громкость нельзя отрегулировать это просто жесть. Пользуюсь айфонами уже больше 14 лет и первый раз с таким сталкиваюсь",2,0,DomMobile
Год назад,Москва,1,менее месяца,Не указано,"Через некоторое время после загрузки e-sim возникла проблема с выходом в сеть.
При обращении к оператору выяснилось, что телефон в серном списке (скорее всего украден).
Ни одна сим карта с ним работать не будет.",Не указано,7,4,GiX
4 месяца назад,Ижевск,2,более года,Нормально,Через 3 месяца появилась полоса по экрану,Не указано,0,0,mobilka18
Год назад,Шатура,1,менее месяца,"Яркий и шустрый дисплей,не виснет в работе",Тихий динамик по спавнению с 11 версией,"Ужасный возврат,мозги пудрят только в путь своими завтраками",2,3,ОНЛАЙНТРЕЙД.РУ
4 месяца назад,Санкт-Петербург,2,несколько месяцев,Не указано,Быстро тратится аккумулятор! Уже не знаю что делать 😡,Не указано,0,0,GOODSTORE
Год назад,Екатеринбург,1,менее месяца,Не указано,Не указано,"Телефону меньше 2 недель, перестал работать экран",0,1,Неизвестно
6 месяцев назад,Красногорск,2,несколько месяцев,"Вроде оригинал , но как поймешь","Много описания , но все одно не то что искал , просто подстроилась система поиска гребаного Яндекса",Не указано,0,0,Tehno Hub
Год назад,Москва,1,Не указано,Смартфон сам по себе хороший.,Спустя неделю эксплуатации появился зелёный пиксель.,"Телефон не падал, носился в чехле, с защитным стеклом, но пиксель просто взял и появился, что делать? Как-то обменять можно?",3,4,Яндекс Маркет
6 месяцев назад,Люберцы,2,несколько месяцев,Не указано,"начались проблемы с звонками, с него нельзя позвонить. может Е сим у нас не очень работает.",Не указано,0,0,ID Store
Год назад,Ростов-на-Дону,1,Не указано,Телефон супер.,"Прислали б.у телефон. Активирован за 2 месяца до покупки. Продавец - юпорт техника. Заказывал на 2 симки, физическую и есим. Прислали для китайского рынка без возможности добавления есим, с двумя физическими.",Не советую к приобретению. Ни в коем случае.,13,6,Юпорт техника
6 месяцев назад,Сухой Лог,2,несколько месяцев,купил по хорощей цене,качество,"через 10 месяцев сдох модем, куда обращаться за ремонтом вообще без понятия",0,0,iBalance
Год назад,Батуринская,1,Не указано,Работает,Внешний вид,"Впечатления начинаются с коробки, на ней с горки по асфальту вроде бы съезжали",5,8,Dicentre
6 месяцев назад,Волгоград,2,менее месяца,Не указано,"Шнур не оригинальный
Зарядку держит не очень долго на оригинальной зарядке.",Не указано,0,0,БОЛТУН
Год назад,Ростов-на-Дону,1,Не указано,Нет,Все,Оплатила заказ. Неделю после назначенной даты доставки операторы сообщали мне об отсутствии информации о моем товаре. Подарок ко дню рождения не случился. Продавец просто не отправил товар! Отвратительной сервис.,1,4,Неизвестно
7 месяцев назад,Москва,2,несколько месяцев,Не указано,Быстро садится аккумулятор,Не указано,0,0,UVF
Год назад,Санкт-Петербург,1,менее месяца,Не указано,Не указано,"Получил телефон, заказывал в PRO-Store. Почему наклейка Iphone 14 pro? Может оформить возврат? Не вскрываю.",3,7,PRO-Store
Не указано,Не указано,2,Не указано,Не указано,Не указано,"Зря купил, не чем таким особым от китайских аналогов не отличается. Просто переплата за бренд. Когда купил, неделю жена старым пользовалась, пока ругатся не начал",1,2,ge store
Год назад,Санкт-Петербург,1,Не указано,Ничего нового кроме названия,Высокая цена на данную модель,Не указано,0,10,Неизвестно
Год назад,Москва,2,более года,"Качественные материалы
OLED дисплей
Длительная работа без лагов ОС","Цена
Отсутствие адаптера питания в комплекте
Монобровь
Отсутствие Apple Pay в России
С каждой новой серией, камера на предыдущих версиях iPhone «режется» на программном уровне",Не указано,2,12,video-shoper
Год назад,Самара,1,Не указано,Не указано,Не даёт оформить сплит.,Не указано,0,8,Неизвестно
