Date,City,Score,Review_usage,Review_pro,Review_contra,Review_comment,Like_count,Dislike_counts,Shop_review
2 месяца назад,Оренбург,5,менее месяца,"Цвет ,цена )","При транспортировке стирается коробка , нужно упаковывать по лучше","Все хорошо, телефон новый , проверили по сирейнику 👍",0,0,ASTEROID T
Месяц назад,Ишимбай,5,Не указано,Не указано,Не указано,Дочка довольна до ужаса... и я доволен...,0,0,Digital Planet
4 месяца назад,Санкт-Петербург,5,менее месяца,"Быстро работает, отличная камера, красивый дизайн. Перешла с 10 айфона, разница колоссальная!! Упаковка посылки хорошая, сама коробка Афона не была вскрыта, телефон новый, серийный номер пробивается на сайте) успела купить за 69 т.р.)))",Не указано,Не указано,1,0,S.Store
Месяц назад,Казань,5,Не указано,отличный оригинальный смартфон пришел в срок,Не указано,Не указано,0,0,Digital Planet
Месяц назад,Майкоп,5,менее месяца,"Оригинал, все пломбы на месте",Нет,Не указано,0,0,iPhonika MSK
3 месяца назад,Волжский,5,Не указано,Всё отлично,Нет,"Заказала 26 января . Пришел из-за границы как и обещали 1 февраля. Новый,не восстановленный. Перешла с 11 про макс. Продавец отличный. Вот теперь думаю у него заказ ps 5 .",0,0,Digital Planet
4 месяца назад,Златоуст,5,менее месяца,"Новый, оригинальный, хорошая камера, высокая производительность",Не указано,"Очень рад что заказал у данного магазина этот товар, очень переживал что обманут и ведь не обманули, желаю магазину процветания и больших заказов. Сам телефон из Индии, никаких проблем не нашлось",0,0,New Media
2 месяца назад,Вологда,5,менее месяца,Не указано,Не указано,"iPhone активировала, проверила на сайте Appel оригинальный, всё хорошо!",0,0,Digital Planet
2 месяца назад,Краснодар,5,менее месяца,"Нуу после 8 ки вообще огонь,шустрый,громкий,оригинальный",Купила 8.03,Посмотрим что будет,0,0,Apple Mall
Месяц назад,Москва,5,менее месяца,Отличный телефон,Не указано,Не указано,0,0,mobilezone
3 месяца назад,Воронеж,5,Не указано,всё супер четко советую,нет,телефон новый первый раз покупал онлайн телефон конечно же волнение было но все вышло супер новый оригинальный телефон,0,0,S.Store
7 месяцев назад,Самара,5,Не указано,"Телефон отличный, как и вся техника Apple",Нет,"Телефон брала «для других стран» никаких отличий с ростестом не заметила. А насчет официального сервиса я не переживаю, Айфоны у меня со 2-го поколения все всегда работало прекрасно, последняя модель была 10-я и за почти 20 лет я не обращалась в оф сервис ни разу. Коробка была запечатана, обмотана в пупырку и упакована еще в одну коробку с обозначениями хрупкого товара. Все данные со старого телефона быстро перенесла на новый через быструю настройку.",2,0,ID Store
5 месяцев назад,Коломна,5,менее месяца,"Все работает. Оригинал. Из Индии, если вдруг кто-то еще не мог понять, что за страна производства.",Не обнаружил.,"Впервые увидев коробку испугался, странные пломбы, до этого такого не встречал. Не вскрывая начал гуглить, вроде ни у кого проблем не было. Пока что все прекрасно, если вдруг что дополню отзыв, надеюсь такого не случится 😀",0,0,Noble
Месяц назад,Химки,5,Не указано,Оригинал,Пока нет,Вроде все гуд!,0,0,БОЛТУН
3 месяца назад,Апрелевка,5,менее месяца,"Шустрый телефон, никаких тормозов а камера вообще ТОП",Слегка коробка была помята а так сам телефон целости и сохранности,Очень хороший телефон доставили раньше времени всё оригинальное к телефону никаких претензий,0,0,Class Line
8 месяцев назад,Можга,5,несколько месяцев,"Хороший аппарат, работает идеально","Пока не заметила, пользуюсь с удовольствием","Тут хочу оценить не телефон, а продавца! ⭐️⭐️⭐️⭐️⭐️
Наивысшая оценка за оперативность и сервис! Продавец позвонил, уточнил, можем ли перенести доставку на другой ближайший день, т.к в наш город курьерская доставка бывает по определениям дням, либо предложил отправить почтой России. Мы конечно же согласились дождаться курьера! Курьер приехал, привез товар, все было хорошо упаковано, при нем проверили!!! Вообщем продавца советую! И очень ждём скидку на Apple 14 Pro 256gb😊",0,0,mobilka18
Месяц назад,Дзержинск,5,менее месяца,Не указано,Не указано,Все пришло в целостности и сохранности,0,0,Digital Planet
2 месяца назад,Люберцы,5,менее месяца,Оригинал Пломба Время Доставки,wi-fi называется WLAN,в общем и целом все круто,0,1,Digital Planet
4 месяца назад,Санкт-Петербург,5,менее месяца,"Оригинальный айфон, на сайте Apple бьется, пришел с заводскими наклейками, не активированный. С прошлого айфона все перенеслось корректно, пока сомнений в подлинности нет","Коробка была грязновата, как будто на складе где то долго лежал. Для подарка было бы обидно.",Не указано,0,0,Big-Apple
5 месяцев назад,Москва,5,менее месяца,"Телефон оригинальный, не активирован,
не вскрывался, всё работает, никаких ограничений.
Пришел аккуратно запечатанный.","Из недостатков, разве что цена.","Заказывал впервые, сильно переживал, долго мониторил обстановку, но всё отлично.
Можно рекомендовать!
Магазину ID Store - огромная благодарность, всё чётко и точно в срок.",0,0,ID Store
2 месяца назад,Большое Пикино,5,несколько месяцев,"Все отлично!
Работает,не лагает все проверки проходит!
Летает 👌🏼",Не указано,Пользуюсь с сентября 23,0,0,Prosto-Technika
3 месяца назад,Новосибирск,5,менее месяца,главное жена довольна)),не обнаружено,заказ пришёл отлично упакованный пломбы на месте вообщем магазин отличный всём рекомендую. спасибо за работу.,0,0,ID Store
3 месяца назад,Печерск,5,несколько месяцев,"цена более, чем приятная.","пока не обнаружила, буду наблюдать в процессе","я ушла когда то с айфонов на андроид, сейчас решила вернуться, пока не пожалела.",0,0,Xtech Store
Месяц назад,Санкт-Петербург,5,Не указано,Все отлично оригинал,Не указано,Не указано,0,0,Digital Planet
4 месяца назад,Стройкерамика,5,менее месяца,"Айфон оригинал!
Спасибо продавцу за оптимальную цену и своевременную доставку.","Их просто нет, ведь это apple","Перешла с андроида на айфон, ни капли не жалею!
Не бойтесь заказывать, все можно пробить по серийному номеру☺️
Коробка пришла в целости и сохранности",0,0,AM-TEX
4 месяца назад,Усть-Кинельский,5,менее месяца,Это айфон),"Немного опоздали с доставкой,привезли на 2 дня позже,но привезли","Перешла на него с 11,удобно лежит в руке.Особой разницы не заметила,но все же в 14 камера лучше)Гарантия на год,пробивается,оригинал 100%",0,0,Funny Jobs
4 месяца назад,Красногорск,5,менее месяца,"Камера, скорость и все остальное, чем славится айфон","Выпирающие камеры, боюсь быстро затрутся и телефон не лежит ровно на столе","Пришел с 1 esim и 1 обычной, я такой и хотела, поэтому оставила, и у него была самая быстрая доставка",0,0,Class Line
2 месяца назад,Москва,5,Не указано,Оригинальный,Не указано,Прекрасно работает. Айфон он и в Африке айфон),0,0,restore
4 месяца назад,Лабинск,5,менее месяца,"Оригинал, соответствует описанию. Было страшно заказывать через макет, но рискнула и нисколько не пожалела. Рекомендую к покупке.",Нет. Полностью соответствует ожиданиям.,"Доставлен быстрее заявленной даты, хорошо упакован.",0,0,ID Store
3 месяца назад,Зеленоград,5,менее месяца,"Привезли вовремя, в многослойной упаковке, все отлично. Большой экран, все функции, все отлично! Быстренько перенесла все со старого 7-ого. 14-ый красивый, удобный, фото пока не тестировала.",нет,Не указано,0,0,OGWTRADE
2 месяца назад,Москва,5,менее месяца,Не указано,Не указано,телефон рекомендую оригинал все функции работают.,0,0,TIGIAL
2 месяца назад,Тверь,5,менее месяца,Все как в описании,Нет,Пушечный айфон 👍👍👍👍,0,0,ManyPhone
Месяц назад,Москва,5,Не указано,Не указано,Не указано,супер,0,0,Prosto-Technika
3 месяца назад,Королёв,5,Не указано,Прекрасный аппарат!,отсутствуют,Отличный продавец. Мое почтение транспортировочной упаковке. все запаковано как того требует данный вид товара. Товар действительно новый.,0,0,Дисконтика
4 месяца назад,Шатск,5,менее месяца,"Отличный телефон , полностью оригинал , без каких -либо косяков , новый , не активированный .Телефон пришел в не использованной коробке (коробка в идеальном состоянии)
Брал на подарок ,жена полностью довольна .",Не выявлены . Все отлично .лайк,Продавец на высоте ),0,0,New Media
4 месяца назад,Серпухов,5,менее месяца,"Всё супер, айфон есть айфон)))",Не указано,"Коробка пришла целая, не вскрытая! Сам айфон новый, не активированный, оригинал! Легко перенесла данные со старого на новый! Предыдущий тоже был не ростест, поэтому в этом никакой проблемы не вижу, надеюсь этот тоже прослужит долго 🤗",1,0,EL-CASTLE
2 месяца назад,Обнинск,5,менее месяца,Все супер,Нет,Оригинал. Сын доволен. Все супер,0,0,Prosto-Technika
3 месяца назад,Мисайлово,5,менее месяца,"айфон:). брал в 🎁. пришёл во время, упоковка целая, упакован хорошо, пломбы целые. Всё работает и приносит радость 😂",Не указано,"респект продавцу, удачи",0,0,Apple Gallery
5 месяцев назад,Орск,5,несколько месяцев,"Самый мощный процессор среди всех смартфонов.
Отличная камера.
Плавный экран 120 Гц.
Отличная реализация Always on Display.",Новые фишки не работают в России,"Новый iPhone 14 будет работать плавно, бесперебойно и будет обновляться на новые версии iOS дольше, чем любой Android-смартфон.",0,0,MmobileShop
3 месяца назад,Козельск,5,менее месяца,"Все супер, оригинал, упаковано было хорошо",Их нету,"Пользуюсь не так уж давно, но мне очень нравится 🥰 камера просто шикарная",0,0,TIGIAL
4 месяца назад,Екатеринбург,5,несколько месяцев,"айфон, этим все сказано",айфон)) все недостатки описаны подробно в интернете.,"Телефон был по очень приятной цене. пришёл в срок) пломбы были на месте, хорошо упакован. яндекс на самом высоком уровне)))",0,0,SPLAV
2 месяца назад,Ростов-на-Дону,5,несколько месяцев,"Оригинальный телефон,качество 👍работа 👍",Иногда изредка бывает глюки,Не указано,0,0,Яблочная сторона
2 месяца назад,Москва,5,менее месяца,Супер,Нет,Хороший телефон,0,0,restore
3 месяца назад,Мурино,5,менее месяца,"Оригинал, Цена, все отлично работает.",Нет.,"Доставили во время, коробка и смартфон в отличном состоянии.",0,0,Digital Planet
3 месяца назад,Санкт-Петербург,5,менее месяца,"заказ пришёл через 3 дня. упакован в пупырку, предназначен для Индии, работает быстро, оригинал",их нет,рекомендую продавца!,0,0,World Fashion
2 месяца назад,Москва,5,менее месяца,шустрая телефон,нет недостатки,Не указано,0,0,iSpot
2 месяца назад,Самара,5,менее месяца,Очень довольна,-,Не указано,1,0,emobile66
3 месяца назад,Левченко,5,менее месяца,"Оригинальный, новый , хороший","Пока не обнаружены, надеюсь их не будет.","Очень боялась заказывать, но не пожалела. Получила то что хотела. ☺️ Доставка быстрая, привезли вовремя.",0,0,ProGSM
4 месяца назад,Барнаул,5,менее месяца,"заводской, не активирован , новый, не вскрывался","не выявил, недостатков нет","продавцу спасибо! телефон отличный , брал в подарок под ёлку, Коробка в заводской упаковке чистая!!! всех с новым годом мира и добра всем!",0,0,Noble
3 месяца назад,Дедовск,5,менее месяца,100% оригинал. 100% батарея. Покупкой доволен,пока не выявил. после андроида немного непривычно,Не указано,0,0,Sky Tech
